voxel_number,cluster_4,cluster_6,cluster_8,cluster_13,X,Y,Z,Chat-252
690,0,4,0,8,55,27,28,0.012505907
695,1,5,5,9,62,27,28,0.018875666
697,0,0,6,6,55,28,28,0.009844301
700,0,4,0,8,62,28,28,0.012808239
706,3,4,2,11,62,29,28,0.013716802
721,0,0,6,6,58,33,28,0.010162617
741,1,5,5,5,62,27,29,0.018617041
746,0,0,0,0,62,28,29,0.011829988
753,3,3,2,2,62,29,29,0.014992894
775,0,0,6,12,58,34,29,0.010749511
788,0,0,6,6,61,27,30,0.010407678
789,3,3,2,2,62,27,30,0.015338578
798,0,0,0,0,62,28,30,0.011567916
808,0,0,6,6,61,29,30,0.00982004
809,1,5,5,5,62,29,30,0.018150527
820,2,1,3,3,62,30,30,0.023962114
830,1,5,1,9,62,31,30,0.020573491
838,1,1,1,1,62,32,30,0.021567823
852,0,0,6,6,58,34,30,0.010207552
866,0,0,6,12,61,27,31,0.011144924
867,0,4,0,0,62,27,31,0.01229426
868,0,0,6,12,63,27,31,0.010699088
876,0,0,6,6,61,28,31,0.010070424
877,0,4,0,8,62,28,31,0.012515483
887,0,0,6,12,61,29,31,0.011266793
888,1,1,1,1,62,29,31,0.02198646
898,0,0,6,6,61,30,31,0.009948852
899,2,2,4,4,62,30,31,0.028102648
909,0,0,6,12,61,31,31,0.010620398
910,2,1,3,3,62,31,31,0.024007203
920,3,4,2,11,61,32,31,0.014013835
921,2,1,3,3,62,32,31,0.023426011
932,2,2,7,7,62,33,31,0.026610345
938,0,0,6,6,58,34,31,0.009855957
941,0,4,0,8,61,34,31,0.012723568
942,2,2,7,7,62,34,31,0.026560444
956,0,0,6,6,59,27,32,0.010386275
958,0,0,0,0,61,27,32,0.011820537
959,3,4,2,11,62,27,32,0.014395771
967,0,0,6,6,61,28,32,0.010407089
968,3,3,2,10,62,28,32,0.016196784
978,0,0,6,12,61,29,32,0.011016714
979,1,1,1,1,62,29,32,0.02185391
989,0,0,6,6,61,30,32,0.010379655
990,2,2,7,7,62,30,32,0.026262786
998,0,0,6,6,59,31,32,0.009823981
1000,0,0,6,12,61,31,32,0.0113401
1001,2,2,7,7,62,31,32,0.02580874
1009,0,0,6,6,59,32,32,0.009900597
1011,3,4,2,11,61,32,32,0.014123066
1012,2,2,3,3,62,32,32,0.025005559
1018,0,0,6,12,57,33,32,0.010828828
1020,0,0,6,6,59,33,32,0.010165872
1021,3,3,2,2,61,33,32,0.015223812
1022,2,2,7,7,62,33,32,0.027224733
1023,0,0,0,0,63,33,32,0.01167822
1030,0,0,0,0,58,34,32,0.011722574
1031,0,0,6,6,59,34,32,0.010269662
1032,0,0,6,12,61,34,32,0.010807816
1033,2,2,4,4,62,34,32,0.028327424
1038,3,3,2,2,58,35,32,0.014839842
1051,0,0,0,0,61,27,33,0.011654109
1052,3,3,2,10,62,27,33,0.015881488
1059,0,0,6,12,58,28,33,0.011170762
1060,1,5,5,5,59,28,33,0.017909767
1062,0,0,0,0,61,28,33,0.011800546
1063,1,5,5,5,62,28,33,0.018282063
1071,0,0,6,12,58,29,33,0.010734497
1072,3,5,5,5,59,29,33,0.01759905
1074,0,0,0,0,61,29,33,0.012090821
1075,1,5,5,9,62,29,33,0.019335669
1082,0,0,6,6,58,30,33,0.009941585
1083,3,3,5,5,59,30,33,0.017325332
1085,0,0,0,0,61,30,33,0.011672825
1086,1,1,1,1,62,30,33,0.022459252
1091,3,3,2,2,57,31,33,0.015644344
1092,0,0,6,12,58,31,33,0.011218656
1093,3,3,2,10,59,31,33,0.016300263
1095,0,0,0,0,61,31,33,0.012007756
1096,2,2,7,7,62,31,33,0.026507461
1097,0,0,6,6,63,31,33,0.010159545
1101,0,0,0,0,56,32,33,0.011546548
