cluster_4,cluster_6,cluster_8,cluster_13,Gas6-72008122
0,0,7,0,0.082877524
0,0,7,0,0.08139185
3,4,7,7,0.087327525
3,4,7,7,0.09121922
3,4,7,7,0.08713997
3,4,3,3,0.09780475
3,4,3,11,0.10198903
3,4,3,11,0.101649016
3,4,3,11,0.10230101
3,4,3,3,0.09357003
0,5,0,8,0.07053148
0,5,0,8,0.0713869
0,0,0,0,0.07880723
0,0,0,0,0.07811079
3,4,7,7,0.08665346
0,0,7,7,0.08548658
3,4,3,3,0.093864396
0,0,7,7,0.08598226
3,4,7,7,0.08946638
0,5,0,8,0.07219846
0,0,0,0,0.077129364
0,0,7,7,0.08618878
1,1,1,1,0.047417272
0,5,4,4,0.067622684
1,5,4,10,0.057188116
0,5,0,8,0.07104504
1,5,4,4,0.0639521
0,0,0,8,0.07281918
0,5,0,8,0.070332535
0,0,7,7,0.08497953
0,0,0,8,0.072986566
0,0,0,8,0.07452572
3,4,7,7,0.0875243
1,1,1,12,0.040155824
1,5,4,10,0.061251383
1,1,1,1,0.046257496
1,5,4,10,0.06109189
1,1,1,1,0.053452406
1,5,4,10,0.061365016
0,5,0,8,0.071479864
0,0,0,0,0.079765126
0,0,0,8,0.07312677
0,0,0,8,0.074095935
3,4,7,7,0.08992492
1,1,1,12,0.04158985
1,1,4,1,0.054245953
1,1,1,1,0.052673444
1,5,4,4,0.06431166
1,5,4,10,0.059538763
0,5,0,4,0.06876064
0,0,0,8,0.07609939
0,0,0,0,0.07668098
0,0,0,8,0.074979916
0,0,0,0,0.078042425
3,4,7,7,0.08700448
0,5,4,4,0.06459724
0,5,4,4,0.06632126
0,5,4,4,0.06538511
0,5,0,8,0.070229694
0,5,4,4,0.0657095
0,5,0,8,0.07186884
0,0,0,0,0.07782431
0,0,0,0,0.07927907
0,0,0,8,0.07443337
0,0,0,0,0.0787697
0,0,0,0,0.07910983
0,5,0,4,0.069804505
0,5,0,8,0.07213166
0,0,0,8,0.07375148
0,0,0,8,0.07303498
0,5,4,4,0.067239776
0,5,0,8,0.07070833
0,0,0,0,0.08000395
0,5,0,8,0.07074764
0,0,0,8,0.07388171
0,5,0,8,0.07105196
0,0,0,0,0.08012256
0,0,0,8,0.07548564
0,0,0,8,0.07293867
0,0,7,0,0.08115667
0,0,0,8,0.076482184
0,5,0,4,0.06949616
0,5,0,8,0.07091586
0,0,7,0,0.08203081
0,5,0,8,0.07119032
0,5,0,8,0.071353056
0,0,0,8,0.076011375
0,0,0,0,0.07975185
0,0,0,8,0.07340524
0,0,0,0,0.078593396
3,4,7,3,0.09158427
0,0,7,0,0.08252932
0,0,0,8,0.07601122
3,3,6,6,0.12202504
3,4,3,11,0.10356139
3,3,6,6,0.11648364
3,3,6,11,0.11145812
3,3,6,6,0.121253185
3,3,6,6,0.11506893
0,0,0,0,0.0783595
1,5,4,10,0.056965645
1,1,1,1,0.05301773
0,0,0,8,0.07381769
0,0,7,7,0.08580892
3,4,3,3,0.09959967
3,3,6,11,0.106880285
3,3,6,6,0.11462041
0,0,7,0,0.08167576
3,4,3,3,0.09406347
3,4,3,11,0.10056302
1,1,1,1,0.049511295
1,5,4,10,0.05972182
1,1,1,1,0.05220717
0,5,4,4,0.06549068
0,5,4,4,0.06504468
0,0,0,0,0.07764678
0,0,0,0,0.07967143
3,4,3,3,0.0931407
0,0,0,0,0.07800535
3,4,3,3,0.09479639
3,3,6,11,0.10811065
1,1,1,12,0.037856106
1,1,4,10,0.05470611
1,1,1,1,0.051907957
1,5,4,10,0.058969118
1,5,4,10,0.05819504
1,5,4,10,0.058315307
0,5,4,4,0.064495414
0,5,0,8,0.06985126
0,5,0,8,0.07114781
0,0,7,7,0.08475194
3,4,3,3,0.09572071
1,1,1,12,0.04083406
1,5,4,10,0.0559759
1,5,4,10,0.056798153
1,5,4,10,0.061131768
1,5,4,10,0.058542132
1,5,4,10,0.058787838
1,5,4,4,0.06430427
1,5,4,10,0.060890608
1,5,4,4,0.063255824
0,5,0,8,0.070483275
0,5,0,8,0.07207169
0,5,4,4,0.06473341
0,5,4,4,0.06786199
0,5,4,4,0.067721635
0,5,4,4,0.06681784
1,5,4,10,0.061159298
0,5,4,4,0.06586826
0,0,0,8,0.07305035
0,5,4,4,0.06604192
1,5,4,10,0.057247836
1,5,4,10,0.061532736
1,5,4,10,0.06031153
0,0,0,8,0.07533171
0,5,4,4,0.06648253
0,5,0,4,0.0693734
0,0,0,8,0.074498504
0,5,0,8,0.07070019
0,5,4,4,0.06530015
0,0,0,8,0.07508892
0,0,7,7,0.08457487
1,1,1,1,0.053228933
0,0,0,0,0.07979577
0,0,0,8,0.0754478
0,0,0,8,0.07445942
0,0,7,0,0.080977164
0,0,0,8,0.07539135
0,5,0,8,0.07039875
0,0,0,0,0.08021719
3,4,7,7,0.09107952
0,5,4,4,0.06821494
0,0,7,0,0.08267834
0,0,7,7,0.086309165
0,0,0,0,0.077122904
0,0,0,8,0.07499466
0,0,7,0,0.08247709
3,4,3,3,0.09300211
3,4,7,7,0.08758036
0,0,0,0,0.07705633
0,0,0,0,0.07678647
2,2,5,5,0.21655022
1,1,1,12,0.037845254
1,1,1,1,0.05025753
3,3,6,6,0.1256358
2,3,2,2,0.15660444
2,2,2,2,0.18509251
2,2,2,2,0.18002574
3,3,6,6,0.121780336
0,5,4,4,0.06679887
1,1,1,12,0.04183692
1,1,1,1,0.04480268
0,5,0,8,0.07228524
0,0,7,0,0.08252251
3,3,6,11,0.111089885
3,3,6,6,0.12750845
3,3,6,6,0.13901591
3,4,3,11,0.10349494
3,4,3,11,0.10209094
3,4,3,11,0.102105886
1,1,1,1,0.04744639
1,1,1,12,0.039009247
1,1,1,12,0.03899612
1,1,4,1,0.05432521
1,1,1,1,0.049826324
0,5,4,4,0.066717856
0,0,0,0,0.07872126
3,4,3,3,0.09624327
3,4,7,7,0.091113925
3,3,3,11,0.10646987
3,3,6,6,0.113059975
1,1,1,12,0.033929955
1,1,1,1,0.044583585
1,1,1,1,0.048089836
1,1,1,1,0.048077542
1,1,1,1,0.047402103
1,1,1,1,0.044243857
1,1,1,1,0.05235503
1,5,4,10,0.06065923
0,5,0,8,0.07170708
3,4,7,7,0.08965301
3,4,3,3,0.09353535
1,1,1,12,0.04115697
1,5,4,10,0.058998972
1,1,4,10,0.055052754
1,1,4,1,0.054062378
1,1,1,1,0.04913602
1,1,1,1,0.046084877
1,1,1,1,0.05032722
1,1,1,1,0.05032488
1,5,4,10,0.061060254
1,5,4,4,0.063894704
0,5,4,4,0.06802269
1,5,4,10,0.059808046
1,5,4,10,0.062274836
1,1,1,1,0.052646328
1,5,4,10,0.059883054
1,1,1,12,0.042428493
0,0,0,8,0.075444385
0,5,4,4,0.06616617
0,5,4,4,0.06596733
0,5,4,4,0.06752923
0,5,0,8,0.07186222
1,5,4,10,0.058953296
0,5,4,4,0.065076075
0,5,0,8,0.07155761
0,0,7,0,0.081307955
0,5,0,8,0.07224778
0,0,0,8,0.07547466
0,0,0,0,0.07804631
0,0,7,0,0.08326255
0,5,0,4,0.06884273
0,0,0,8,0.07416466
0,5,0,8,0.070346795
3,4,7,7,0.08781028
3,4,7,7,0.08940894
0,0,7,7,0.08632981
0,0,0,0,0.077624805
3,4,3,3,0.092449605
1,5,4,10,0.05952513
2,2,5,9,0.2870474
1,1,1,12,0.041580137
2,3,2,2,0.1600198
2,2,5,5,0.2267175
2,2,5,5,0.24081977
2,2,5,5,0.23308149
3,3,2,2,0.14635372
1,5,4,4,0.063114025
1,1,1,1,0.047536533
3,3,6,6,0.1336085
3,3,2,2,0.14986932
3,3,6,6,0.12008355
3,4,3,3,0.097918235
1,1,1,1,0.04852307
1,1,1,1,0.049107935
1,5,4,10,0.05728959
3,4,7,3,0.09144182
3,4,3,3,0.09789357
3,4,3,11,0.10188497
3,3,3,11,0.10579811
1,1,1,12,0.035317626
1,1,1,1,0.052818127
1,1,1,1,0.047997676
0,0,7,0,0.083114244
0,4,7,7,0.08657652
1,1,1,12,0.040151127
1,5,4,10,0.058085423
1,5,4,10,0.060066316
0,5,4,4,0.06541377
0,5,0,8,0.07082073
0,5,4,4,0.06517085
0,5,4,4,0.06687647
1,5,4,10,0.06046445
0,0,7,7,0.0847478
0,0,0,0,0.076831505
0,0,0,8,0.074610844
0,5,4,4,0.066275135
0,0,0,8,0.074139506
0,0,7,0,0.08165793
3,4,7,3,0.091336474
3,4,3,3,0.09793786
0,0,0,0,0.07956507
1,5,4,4,0.06306576
3,4,7,7,0.08974036
1,5,4,10,0.05816321
2,2,5,5,0.2208743
1,1,1,1,0.051971734
3,4,3,11,0.102098
3,3,6,6,0.12066477
2,3,2,2,0.16297533
2,2,2,2,0.18843421
2,2,2,2,0.18409294
3,3,6,6,0.11596519
0,5,4,4,0.06548097
1,5,4,10,0.06067593
3,3,6,6,0.119441785
3,3,6,6,0.13451488
3,3,6,6,0.11382252
3,4,3,11,0.10097638
3,4,3,3,0.09831232
1,1,1,1,0.048643503
0,5,4,4,0.0676436
1,5,4,10,0.059504826
3,4,7,7,0.08750277
3,4,3,3,0.0941602
3,4,3,3,0.098840356
3,3,3,11,0.106217824
1,1,1,12,0.03870694
0,5,4,4,0.06525735
1,1,4,10,0.055439264
1,1,1,12,0.04207788
0,0,7,0,0.08320911
3,4,7,7,0.088823296
1,1,1,12,0.040423207
1,1,1,1,0.053421278
1,1,1,1,0.052288994
1,5,4,10,0.05599351
